#{"t_start": 1584126944.1715174, "env_id": null}
r,l,t
-0.833333,8,94.050392
1.166667,8,94.18467
-0.785714,10,94.364966
1.214286,10,94.541925
-9.714286,13,94.725656
1.119048,6,94.82474
1.214286,10,94.963493
1.238095,11,95.137609
-0.761905,11,95.336373
1.214286,10,95.516129
-0.761905,11,95.877192
-0.833333,8,96.096022
-0.833333,8,97.324042
1.166667,8,97.464718
1.238095,11,97.649423
-0.785714,10,97.803658
-0.904762,5,97.888878
1.285714,13,98.095027
-0.857143,7,98.206695
1.166667,8,98.320539
-0.785714,10,98.483682
-9.738095,12,98.646163
1.071429,4,98.724844
1.166667,8,98.83668
1.190476,9,98.970549
-9.642857,16,99.182713
-9.738095,12,99.349783
1.238095,11,99.49772
1.071429,4,99.572863
1.190476,9,99.695641
1.166667,8,99.845452
1.071429,4,99.92597
1.238095,11,100.111237
1.214286,10,100.265459
1.119048,6,100.356491
-9.809524,9,100.480019
-9.595238,18,100.700041
1.238095,11,100.888964
-9.714286,13,101.117994
1.071429,4,102.359317
1.285714,13,102.586172
-0.785714,10,102.745175
1.238095,11,102.899264
-9.714286,13,103.099059
1.190476,9,103.250201
1.309524,14,103.489412
1.166667,8,103.658667
-0.785714,10,103.883873
-0.857143,7,104.022227
1.142857,7,104.130944
1.119048,6,104.235663
1.309524,14,104.439872
1.190476,9,104.64956
-0.833333,8,104.84136
1.238095,11,105.067331
-0.738095,12,105.285039
-0.785714,10,105.446817
1.071429,4,105.509758
-0.880952,6,105.603435
1.238095,11,105.931638
1.214286,10,106.159819
1.142857,7,106.337732
-9.666667,15,106.64253
1.333333,15,106.938045
-0.738095,12,107.214935
1.190476,9,108.609909
1.142857,7,108.759124
-9.761905,11,109.025875
-0.928571,4,109.195623
-9.690476,14,109.543523
1.142857,7,109.705247
1.238095,11,109.990335
1.095238,5,110.105648
-0.785714,10,110.325603
-0.857143,7,110.487928
1.190476,9,110.690297
-9.761905,11,110.99252
-0.690476,14,111.355982
1.142857,7,111.570606
1.285714,13,111.868352
1.285714,13,112.1817
-9.714286,13,112.535754
1.309524,14,112.865191
1.285714,13,113.196666
-0.809524,9,113.465505
1.214286,10,113.732431
1.285714,13,114.041332
1.214286,10,114.258664
1.166667,8,114.440672
-0.928571,4,114.577908
1.238095,11,114.903377
1.214286,10,116.543515
-9.785714,10,116.797037
1.261905,12,117.106378
-9.738095,12,117.377215
1.119048,6,117.521239
-0.738095,12,117.835209
1.166667,8,118.060401
1.238095,11,118.338594
-9.714286,13,118.634519
-0.761905,11,118.919318
-0.761905,11,119.176548
-0.928571,4,119.290966
-0.714286,13,119.581089
1.214286,10,119.827968
1.142857,7,120.022272
1.238095,11,120.290015
-0.738095,12,120.526761
-0.857143,7,120.665193
-0.785714,10,120.877747
1.190476,9,121.039404
1.071429,4,121.114085
1.238095,11,121.264395
-0.642857,16,121.50381
1.095238,5,121.597098
-0.785714,10,121.732311
-0.738095,12,121.940192
1.214286,10,123.410484
1.238095,11,123.609304
-0.904762,5,123.720352
-0.738095,12,123.981905
1.142857,7,124.159065
-0.714286,13,124.447971
1.238095,11,124.683086
1.095238,5,124.789351
1.119048,6,124.920906
-0.785714,10,125.142218
-0.880952,6,125.27273
1.166667,8,125.423564
-9.738095,12,125.651384
1.190476,9,125.841872
1.261905,12,126.08379
-0.928571,4,126.193723
1.214286,10,126.366587
1.285714,13,126.584521
1.190476,9,126.774357
-0.785714,10,126.986344
-0.761905,11,127.248546
1.142857,7,127.455762
-9.619048,17,127.78609
-0.761905,11,128.062705
1.261905,12,128.400819
-0.857143,7,128.615438
1.214286,10,130.182464
